Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137344,-,-,-,37.49,-122.42,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Dew Point,Wind Speed,Cloud Type
2011,1,1,0,30,10,0,0,0,90.37,8.5,6.7,7
2011,1,1,1,30,10.4,0,0,0,89.37,8.700000000000001,7.800000000000001,8
2011,1,1,2,30,10.700000000000001,0,0,0,88.97,9,8.4,4
2011,1,1,3,30,10.9,0,0,0,89.95,9.3,8,4
2011,1,1,4,30,11,0,0,0,91.56,9.700000000000001,6.9,4
2011,1,1,5,30,11.200000000000001,0,0,0,92.63,10.100000000000001,5.6000000000000005,4
2011,1,1,6,30,11.3,0,0,0,92.92,10.200000000000001,4.7,4
2011,1,1,7,30,11.3,0,0,0,92.76,10.200000000000001,4,4
2011,1,1,8,30,11.5,14,0,14,90.44,10,3.4000000000000004,4
2011,1,1,9,30,11.9,99,0,99,86.85000000000001,9.8,3.1,7
2011,1,1,10,30,12.200000000000001,147,5,149,82.58,9.3,2.8000000000000003,7
2011,1,1,11,30,12.100000000000001,214,128,276,78.54,8.5,2.5,7
2011,1,1,12,30,12,204,47,227,76.44,8,2.1,7
2011,1,1,13,30,11.9,124,0,124,74.67,7.5,1.7000000000000002,7
2011,1,1,14,30,11.700000000000001,99,0,99,75.08,7.4,1.6,7
2011,1,1,15,30,11.600000000000001,15,0,15,79.99,8.3,1.8,7
2011,1,1,16,30,11,16,0,16,85.96000000000001,8.700000000000001,2.7,7
2011,1,1,17,30,10.9,0,0,0,89.82000000000001,9.3,3.3000000000000003,7
2011,1,1,18,30,11,0,0,0,92.16,9.8,3.7,7
2011,1,1,19,30,11,0,0,0,93.12,9.9,4,7
2011,1,1,20,30,11,0,0,0,93.56,10,4.3,6
2011,1,1,21,30,11.100000000000001,0,0,0,93.19,10,4.7,6
2011,1,1,22,30,11,0,0,0,93.92,10.100000000000001,5.1000000000000005,6
2011,1,1,23,30,11,0,0,0,92.61,9.8,5.300000000000001,7
2011,1,2,0,30,10.9,0,0,0,91.92,9.600000000000001,5.2,7
2011,1,2,1,30,10.8,0,0,0,90.66,9.3,5.1000000000000005,4
2011,1,2,2,30,10.700000000000001,0,0,0,89.25,9,5.300000000000001,7
2011,1,2,3,30,10.5,0,0,0,88.99,8.8,5.4,6
2011,1,2,4,30,10.3,0,0,0,89.07000000000001,8.6,5,6
2011,1,2,5,30,10,0,0,0,89.63,8.4,4.5,7
2011,1,2,6,30,9.600000000000001,0,0,0,89.62,8,4.4,7
2011,1,2,7,30,9.3,0,0,0,88.29,7.5,4.6000000000000005,7
2011,1,2,8,30,9.200000000000001,64,43,72,86.52,7.1000000000000005,4.4,8
2011,1,2,9,30,9.200000000000001,88,0,88,85.32000000000001,6.9,4.3,6
2011,1,2,10,30,9.4,108,0,108,84.10000000000001,6.800000000000001,4,7
2011,1,2,11,30,9.8,200,49,224,82.21000000000001,6.9,3.2,6
2011,1,2,12,30,10.200000000000001,163,3,165,80.34,7,2.4000000000000004,6
2011,1,2,13,30,10.4,182,35,198,79.79,7.1000000000000005,2.3000000000000003,7
2011,1,2,14,30,10.5,144,32,156,79.8,7.2,2.5,7
2011,1,2,15,30,10.5,72,0,72,79.7,7.1000000000000005,2.6,7
2011,1,2,16,30,9.8,15,0,15,84.55,7.300000000000001,2.9000000000000004,7
2011,1,2,17,30,9.3,0,0,0,86.08,7.1000000000000005,3.4000000000000004,7
2011,1,2,18,30,8.9,0,0,0,87.2,6.9,3.8000000000000003,7
2011,1,2,19,30,8.3,0,0,0,88.4,6.5,3.8000000000000003,7
2011,1,2,20,30,7.7,0,0,0,89.73,6.1000000000000005,3.6,7
2011,1,2,21,30,7.2,0,0,0,90.68,5.800000000000001,3.4000000000000004,7
2011,1,2,22,30,6.9,0,0,0,90.92,5.5,3.2,4
2011,1,2,23,30,6.800000000000001,0,0,0,90.48,5.4,3.1,4
2011,1,3,0,30,6.800000000000001,0,0,0,90.19,5.300000000000001,3,1
2011,1,3,1,30,6.9,0,0,0,90.06,5.4,2.9000000000000004,3
2011,1,3,2,30,7.1000000000000005,0,0,0,89.92,5.6000000000000005,2.9000000000000004,3
2011,1,3,3,30,7.1000000000000005,0,0,0,90.78,5.7,2.9000000000000004,7
2011,1,3,4,30,7,0,0,0,92.22,5.800000000000001,3,4
2011,1,3,5,30,7,0,0,0,92.9,5.9,3,4
2011,1,3,6,30,6.9,0,0,0,93.85000000000001,6,3.1,8
2011,1,3,7,30,7.6000000000000005,0,0,0,89.69,6,3.1,4
2011,1,3,8,30,8.700000000000001,65,126,87,85.43,6.4,3.3000000000000003,3
2011,1,3,9,30,9.700000000000001,119,283,209,81.58,6.7,3.4000000000000004,2
2011,1,3,10,30,10.8,174,262,284,77.77,7.1000000000000005,3.3000000000000003,2
2011,1,3,11,30,11.600000000000001,214,112,268,73.22,7,3.1,2
2011,1,3,12,30,11.9,78,863,505,70.5,6.7,2.9000000000000004,0
2011,1,3,13,30,12.100000000000001,73,848,460,69.27,6.6000000000000005,2.9000000000000004,0
2011,1,3,14,30,12.100000000000001,67,791,361,69.36,6.7,3.1,0
2011,1,3,15,30,12.100000000000001,55,664,218,69.4,6.7,3.2,0
2011,1,3,16,30,10.600000000000001,29,374,62,79.14,7.1000000000000005,3,0
2011,1,3,17,30,9.8,0,0,0,81.18,6.7,3.2,1
2011,1,3,18,30,9.3,0,0,0,84.43,6.800000000000001,3.3000000000000003,0
2011,1,3,19,30,8.9,0,0,0,86.76,6.800000000000001,3.3000000000000003,0
2011,1,3,20,30,8.5,0,0,0,88.36,6.7,3.3000000000000003,1
2011,1,3,21,30,8.1,0,0,0,89.67,6.5,3.4000000000000004,0
2011,1,3,22,30,7.7,0,0,0,91.17,6.4,3.5,1
2011,1,3,23,30,7.4,0,0,0,92.33,6.2,3.6,0
2011,1,4,0,30,7,0,0,0,94.14,6.1000000000000005,3.6,1
2011,1,4,1,30,6.800000000000001,0,0,0,94.7,6,3.7,0
2011,1,4,2,30,6.5,0,0,0,95.63,5.9,3.6,0
2011,1,4,3,30,6.300000000000001,0,0,0,96,5.7,3.5,1
2011,1,4,4,30,6.2,0,0,0,95.89,5.6000000000000005,3.3000000000000003,1
2011,1,4,5,30,6.2,0,0,0,95.11,5.5,3.1,1
2011,1,4,6,30,6.2,0,0,0,94.23,5.300000000000001,3.1,1
2011,1,4,7,30,6.800000000000001,0,0,0,89.77,5.2,3.2,1
2011,1,4,8,30,7.9,42,606,148,84.9,5.5,3.4000000000000004,0
2011,1,4,9,30,9.1,58,777,305,80.24,5.9,3.3000000000000003,0
2011,1,4,10,30,10.600000000000001,66,860,430,74.15,6.2,2.9000000000000004,0
2011,1,4,11,30,11.700000000000001,71,895,504,67.38,5.9,2.4000000000000004,0
2011,1,4,12,30,12.200000000000001,72,901,519,65.42,5.9,2.1,0
2011,1,4,13,30,12.5,69,884,474,65.12,6.1000000000000005,1.9000000000000001,0
2011,1,4,14,30,12.600000000000001,63,833,374,67.08,6.6000000000000005,1.8,0
2011,1,4,15,30,12.600000000000001,50,718,229,67.98,6.800000000000001,1.8,0
2011,1,4,16,30,11,27,441,67,78.65,7.4,1.9000000000000001,0
2011,1,4,17,30,10.100000000000001,0,0,0,77,6.300000000000001,2.8000000000000003,0
2011,1,4,18,30,9.4,0,0,0,80.09,6.1000000000000005,3.4000000000000004,0
2011,1,4,19,30,8.700000000000001,0,0,0,83.93,6.1000000000000005,3.4000000000000004,0
2011,1,4,20,30,8.1,0,0,0,86.04,5.9,3.2,0
2011,1,4,21,30,7.7,0,0,0,86.97,5.7,3.1,0
2011,1,4,22,30,7.300000000000001,0,0,0,88.34,5.5,3.2,0
