Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137344,-,-,-,37.49,-122.42,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Dew Point,Wind Speed,Cloud Type
2001,1,1,0,30,8.6,0,0,0,94.41,7.800000000000001,2.7,0
2001,1,1,1,30,8.200000000000001,0,0,0,93.63,7.2,3,7
2001,1,1,2,30,7.800000000000001,0,0,0,91.68,6.5,3.3000000000000003,0
2001,1,1,3,30,7.6000000000000005,0,0,0,87.93,5.7,3.5,7
2001,1,1,4,30,7.7,0,0,0,84.17,5.2,3.6,7
2001,1,1,5,30,7.800000000000001,0,0,0,81.7,4.9,3.9000000000000004,7
2001,1,1,6,30,7.6000000000000005,0,0,0,81.28,4.6000000000000005,4,7
2001,1,1,7,30,8,0,0,0,77.58,4.3,3.9000000000000004,1
2001,1,1,8,30,9,42,632,152,73.39,4.5,3.9000000000000004,0
2001,1,1,9,30,10.3,56,815,314,66.74,4.4,4,0
2001,1,1,10,30,11.9,70,870,436,60.89,4.6000000000000005,3.7,0
2001,1,1,11,30,13.600000000000001,75,906,510,56.95,5.2,2.9000000000000004,0
2001,1,1,12,30,15,75,914,524,53.45,5.6000000000000005,2.3000000000000003,0
2001,1,1,13,30,16.1,72,894,477,47.47,4.9,2,0
2001,1,1,14,30,16.5,64,839,374,45.54,4.7,1.6,0
2001,1,1,15,30,16.5,52,715,225,49.53,5.9,1.3,0
2001,1,1,16,30,13.8,27,407,62,61.54,6.5,1.7000000000000002,0
2001,1,1,17,30,12.5,0,0,0,65.81,6.300000000000001,2,0
2001,1,1,18,30,11.8,0,0,0,69.16,6.300000000000001,2.1,0
2001,1,1,19,30,11.200000000000001,0,0,0,71.65,6.300000000000001,2.3000000000000003,0
2001,1,1,20,30,10.700000000000001,0,0,0,72.59,6,2.7,0
2001,1,1,21,30,10.200000000000001,0,0,0,72.87,5.5,3.1,0
2001,1,1,22,30,9.8,0,0,0,74.27,5.4,3.3000000000000003,0
2001,1,1,23,30,9.3,0,0,0,77.03,5.5,3.5,0
2001,1,2,0,30,8.8,0,0,0,79.68,5.5,3.7,0
2001,1,2,1,30,8.4,0,0,0,81.52,5.4,3.9000000000000004,0
2001,1,2,2,30,8,0,0,0,82,5.1000000000000005,4,0
2001,1,2,3,30,7.6000000000000005,0,0,0,80.94,4.5,4.2,0
2001,1,2,4,30,7.4,0,0,0,78.37,3.9000000000000004,4.3,0
2001,1,2,5,30,7.5,0,0,0,74.67,3.3000000000000003,4.4,0
2001,1,2,6,30,7.7,0,0,0,72.43,3.1,4.5,0
2001,1,2,7,30,8.4,0,0,0,68.61,3,4.9,0
2001,1,2,8,30,9.9,41,634,151,63.2,3.2,5.300000000000001,1
2001,1,2,9,30,11.600000000000001,55,811,312,56.02,3.1,5.300000000000001,0
2001,1,2,10,30,13.5,64,892,440,51.14,3.6,4.3,0
2001,1,2,11,30,15.3,68,927,515,50.620000000000005,5.1000000000000005,3.1,0
2001,1,2,12,30,16.8,69,933,529,46.89,5.4,2.4000000000000004,0
2001,1,2,13,30,17.900000000000002,64,920,483,43.29,5.2,2.1,0
2001,1,2,14,30,18.2,59,865,379,41.33,4.800000000000001,1.6,0
2001,1,2,15,30,18.1,48,749,231,46.43,6.4,1.3,0
2001,1,2,16,30,15.9,26,466,67,51.79,6,1.4000000000000001,0
2001,1,2,17,30,14.600000000000001,0,0,0,54.77,5.6000000000000005,1.6,0
2001,1,2,18,30,13.3,0,0,0,62.230000000000004,6.2,1.9000000000000001,0
2001,1,2,19,30,12.4,0,0,0,66.95,6.4,2.3000000000000003,0
2001,1,2,20,30,11.700000000000001,0,0,0,69.22,6.2,2.6,0
2001,1,2,21,30,11.200000000000001,0,0,0,70.19,6,2.7,0
2001,1,2,22,30,10.700000000000001,0,0,0,70.76,5.6000000000000005,2.7,0
2001,1,2,23,30,10.3,0,0,0,70.28,5.1000000000000005,2.7,0
2001,1,3,0,30,9.9,0,0,0,70.79,4.800000000000001,2.7,0
2001,1,3,1,30,9.600000000000001,0,0,0,70.91,4.6000000000000005,2.6,0
2001,1,3,2,30,9.4,0,0,0,71.03,4.4,2.5,0
2001,1,3,3,30,9,0,0,0,73.3,4.5,2.5,0
2001,1,3,4,30,8.700000000000001,0,0,0,74.92,4.5,2.7,1
2001,1,3,5,30,8.3,0,0,0,76.7,4.4,3,1
2001,1,3,6,30,8,0,0,0,77.58,4.3,3.1,0
2001,1,3,7,30,8.6,0,0,0,73.94,4.2,3.2,0
2001,1,3,8,30,10.100000000000001,39,656,153,68.79,4.6000000000000005,3.4000000000000004,0
2001,1,3,9,30,11.700000000000001,53,826,315,61.11,4.5,3.3000000000000003,0
2001,1,3,10,30,13.3,62,900,442,56.550000000000004,4.800000000000001,2.5,0
2001,1,3,11,30,14.9,66,935,517,57.45,6.6000000000000005,1.8,0
2001,1,3,12,30,16.3,66,941,532,51.52,6.300000000000001,1.5,0
2001,1,3,13,30,16.8,65,920,485,46.89,5.4,1.5,0
2001,1,3,14,30,16.400000000000002,59,867,382,48.480000000000004,5.5,1.8,0
2001,1,3,15,30,16,48,750,234,53.370000000000005,6.5,1.8,0
2001,1,3,16,30,13.4,27,464,68,67.54,7.5,1.7000000000000002,0
2001,1,3,17,30,12.5,0,0,0,67.43,6.6000000000000005,1.8,0
2001,1,3,18,30,12,0,0,0,68.4,6.4,1.9000000000000001,0
2001,1,3,19,30,11.600000000000001,0,0,0,68.81,6.1000000000000005,2,0
2001,1,3,20,30,11.200000000000001,0,0,0,68.1,5.5,2.2,0
2001,1,3,21,30,10.9,0,0,0,65.48,4.7,2.5,0
2001,1,3,22,30,10.700000000000001,0,0,0,64.35,4.2,2.7,0
2001,1,3,23,30,10.600000000000001,0,0,0,63.88,4,2.7,0
2001,1,4,0,30,10.5,0,0,0,63.730000000000004,3.9000000000000004,2.6,0
2001,1,4,1,30,10.5,0,0,0,63.27,3.8000000000000003,2.6,0
2001,1,4,2,30,10.3,0,0,0,63.21,3.6,2.8000000000000003,0
2001,1,4,3,30,10,0,0,0,63.6,3.4000000000000004,3,0
2001,1,4,4,30,9.700000000000001,0,0,0,64.56,3.3000000000000003,3.2,0
2001,1,4,5,30,9.5,0,0,0,65.35,3.3000000000000003,3.4000000000000004,4
2001,1,4,6,30,9.4,0,0,0,65.84,3.3000000000000003,3.5,7
2001,1,4,7,30,9.8,0,0,0,64.45,3.4000000000000004,3.6,7
2001,1,4,8,30,10.9,49,424,123,63.120000000000005,4.2,3.8000000000000003,7
2001,1,4,9,30,12.200000000000001,107,386,229,57.58,4.1000000000000005,3.9000000000000004,3
2001,1,4,10,30,13.4,62,902,443,55.53,4.7,3.3000000000000003,0
2001,1,4,11,30,14.8,65,936,519,57.01,6.4,2.7,0
2001,1,4,12,30,16.3,65,944,534,52.86,6.7,2.2,0
2001,1,4,13,30,17.400000000000002,64,923,488,46.44,5.800000000000001,1.7000000000000002,0
2001,1,4,14,30,17.7,58,870,385,44.14,5.300000000000001,1.2000000000000002,0
2001,1,4,15,30,17.7,48,755,237,46.06,5.9,0.9,0
2001,1,4,16,30,15.5,27,478,71,53.9,6.2,0.9,0
2001,1,4,17,30,14.100000000000001,0,0,0,58.88,6.2,1.2000000000000002,0
2001,1,4,18,30,13.100000000000001,0,0,0,65.25,6.7,1.3,0
2001,1,4,19,30,12.5,0,0,0,69.06,7,1.3,0
2001,1,4,20,30,12.100000000000001,0,0,0,70.57000000000001,6.9,1.3,0
2001,1,4,21,30,11.8,0,0,0,70.67,6.6000000000000005,1.4000000000000001,0
2001,1,4,22,30,11.4,0,0,0,71.05,6.300000000000001,1.7000000000000002,0
2001,1,4,23,30,10.9,0,0,0,67.84,5.2,2.1,0
2001,1,5,0,30,10.4,0,0,0,67.08,4.6000000000000005,2.3000000000000003,0
2001,1,5,1,30,9.9,0,0,0,68.9,4.5,2.5,0
2001,1,5,2,30,9.600000000000001,0,0,0,70.18,4.4,2.7,0
2001,1,5,3,30,9.200000000000001,0,0,0,71.97,4.4,2.9000000000000004,0
2001,1,5,4,30,8.8,0,0,0,73.75,4.4,3.1,0
2001,1,5,5,30,8.5,0,0,0,75.21000000000001,4.4,3.2,0
2001,1,5,6,30,8.200000000000001,0,0,0,76.93,4.4,3.2,0
2001,1,5,7,30,8.6,0,0,0,75.48,4.5,3.3000000000000003,0
2001,1,5,8,30,9.8,40,645,153,72.33,5.1000000000000005,3.5,0
2001,1,5,9,30,11,55,818,315,67.12,5.1000000000000005,3.6,0
2001,1,5,10,30,12.600000000000001,63,898,444,62.32,5.6000000000000005,3.2,0
2001,1,5,11,30,14.3,67,933,520,60.29,6.7,2.8000000000000003,0
2001,1,5,12,30,15.5,68,938,536,56.33,6.800000000000001,2.6,0
2001,1,5,13,30,16.2,64,917,487,52.31,6.4,2.5,0
2001,1,5,14,30,16.3,59,863,385,51.29,6.2,2.4000000000000004,0
