Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137344,-,-,-,37.49,-122.42,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Dew Point,Wind Speed,Cloud Type
2019,1,1,0,30,6.1000000000000005,0,0,0,79.59,2.8000000000000003,5.5,0
2019,1,1,1,30,6,0,0,0,78.46000000000001,2.5,5.4,0
2019,1,1,2,30,6.1000000000000005,0,0,0,74.24,1.9000000000000001,5.300000000000001,0
2019,1,1,3,30,6,0,0,0,69.37,0.8,5.2,0
2019,1,1,4,30,5.9,0,0,0,68.55,0.6000000000000001,4.9,0
2019,1,1,5,30,5.7,0,0,0,68.62,0.4,4.5,0
2019,1,1,6,30,5.6000000000000005,0,0,0,68.45,0.2,4.3,0
2019,1,1,7,30,6.1000000000000005,8,40,8,66.24,0.30000000000000004,4.2,0
2019,1,1,8,30,7.2,36,680,155,63.86,0.8,4.3,0
2019,1,1,9,30,8.3,47,860,319,56.21,0.1,3.9000000000000004,0
2019,1,1,10,30,9.3,56,918,442,47.49,-1.3,2.9000000000000004,0
2019,1,1,11,30,10.200000000000001,60,950,516,40.730000000000004,-2.6,2,0
2019,1,1,12,30,10.9,61,949,527,36.230000000000004,-3.5,1.9000000000000001,0
2019,1,1,13,30,11.4,60,925,479,34.49,-3.7,2.3000000000000003,0
2019,1,1,14,30,11.700000000000001,56,868,375,33.82,-3.7,2.3000000000000003,0
2019,1,1,15,30,11.700000000000001,46,745,226,35.38,-3.1,2.2,0
2019,1,1,16,30,11,31,269,54,40.69,-1.9000000000000001,1.3,0
2019,1,1,17,30,11,0,0,0,35.47,-3.7,1,0
2019,1,1,18,30,11,0,0,0,34.38,-4.1000000000000005,0.8,0
2019,1,1,19,30,10.9,0,0,0,34.54,-4.2,0.8,3
2019,1,1,20,30,10.8,0,0,0,35.57,-3.9000000000000004,0.9,0
2019,1,1,21,30,10.700000000000001,0,0,0,37.29,-3.3000000000000003,1.1,0
2019,1,1,22,30,10.5,0,0,0,39.9,-2.6,1.4000000000000001,0
2019,1,1,23,30,10.200000000000001,0,0,0,43.95,-1.5,1.7000000000000002,0
2019,1,2,0,30,10,0,0,0,48.88,-0.30000000000000004,2,0
2019,1,2,1,30,9.8,0,0,0,53.36,0.8,2.1,0
2019,1,2,2,30,9.600000000000001,0,0,0,57.38,1.6,2,0
2019,1,2,3,30,9.4,0,0,0,61.52,2.4000000000000004,1.8,0
2019,1,2,4,30,9.1,0,0,0,65.56,3,1.7000000000000002,0
2019,1,2,5,30,8.6,0,0,0,69.99,3.4000000000000004,1.7000000000000002,0
2019,1,2,6,30,8.1,0,0,0,73.96000000000001,3.7,1.8,0
2019,1,2,7,30,8.1,10,114,11,75.57000000000001,4,2,0
2019,1,2,8,30,8.8,40,620,148,74.48,4.5,2.1,0
2019,1,2,9,30,9.700000000000001,52,799,305,69.78,4.4,2.1,0
2019,1,2,10,30,10.9,57,881,428,63.82,4.3,1.8,0
2019,1,2,11,30,12,60,915,500,56.870000000000005,3.7,1.7000000000000002,0
2019,1,2,12,30,12.700000000000001,62,918,514,53.59,3.5,1.9000000000000001,0
2019,1,2,13,30,13.100000000000001,62,896,469,51.730000000000004,3.4000000000000004,2,0
2019,1,2,14,30,13.100000000000001,56,841,367,50.07,2.9000000000000004,1.9000000000000001,0
2019,1,2,15,30,13,47,723,223,49.44,2.7,1.8,0
2019,1,2,16,30,11.8,27,426,64,57.29,3.6,1.4000000000000001,0
2019,1,2,17,30,11.3,0,0,0,54.54,2.5,1.4000000000000001,0
2019,1,2,18,30,11,0,0,0,54.27,2.1,1.5,0
2019,1,2,19,30,10.700000000000001,0,0,0,54.97,2,1.6,0
2019,1,2,20,30,10.200000000000001,0,0,0,57.13,2.1,1.8,0
2019,1,2,21,30,9.8,0,0,0,58.54,2.1,1.9000000000000001,0
2019,1,2,22,30,9.3,0,0,0,60.870000000000005,2.1,2,0
2019,1,2,23,30,8.9,0,0,0,63.61,2.4000000000000004,2.2,0
2019,1,3,0,30,8.4,0,0,0,66.81,2.6,2.5,0
2019,1,3,1,30,7.9,0,0,0,69.78,2.7,2.7,0
2019,1,3,2,30,7.5,0,0,0,71.68,2.7,2.8000000000000003,7
2019,1,3,3,30,7.1000000000000005,0,0,0,73.73,2.7,2.8000000000000003,0
2019,1,3,4,30,6.800000000000001,0,0,0,76.10000000000001,2.9000000000000004,2.9000000000000004,0
2019,1,3,5,30,6.5,0,0,0,78.17,3,2.9000000000000004,0
2019,1,3,6,30,6.2,0,0,0,79.69,2.9000000000000004,2.7,0
2019,1,3,7,30,6.800000000000001,10,109,11,77.31,3.1,2.7,0
2019,1,3,8,30,7.800000000000001,41,613,148,75.56,3.7,2.9000000000000004,0
2019,1,3,9,30,9.1,70,664,280,70.65,4,2.9000000000000004,0
2019,1,3,10,30,10.700000000000001,61,877,431,61.96,3.7,2.8000000000000003,0
2019,1,3,11,30,11.8,71,880,496,53.29,2.6,2.6,0
2019,1,3,12,30,12.200000000000001,171,470,403,51.4,2.5,2.3000000000000003,7
2019,1,3,13,30,12.3,186,199,277,52.050000000000004,2.7,2,7
2019,1,3,14,30,12.5,105,543,307,53.11,3.2,2,7
2019,1,3,15,30,12.5,48,728,227,55.04,3.7,2.1,0
2019,1,3,16,30,11.100000000000001,33,78,40,65.26,4.800000000000001,1.8,7
2019,1,3,17,30,10.4,0,0,0,65.16,4.1000000000000005,1.8,7
2019,1,3,18,30,9.9,0,0,0,66.76,4,1.7000000000000002,7
2019,1,3,19,30,9.600000000000001,0,0,0,68,4,1.6,7
2019,1,3,20,30,9.5,0,0,0,68.95,4.1000000000000005,1.6,7
2019,1,3,21,30,9.5,0,0,0,69.66,4.2,1.6,7
2019,1,3,22,30,9.5,0,0,0,70.74,4.4,1.7000000000000002,7
2019,1,3,23,30,9.5,0,0,0,71.8,4.7,1.8,7
2019,1,4,0,30,9.4,0,0,0,73.5,4.9,1.9000000000000001,7
2019,1,4,1,30,9.200000000000001,0,0,0,75.77,5.1000000000000005,2,7
2019,1,4,2,30,8.9,0,0,0,78.03,5.300000000000001,2.1,7
2019,1,4,3,30,8.700000000000001,0,0,0,79.43,5.300000000000001,2.3000000000000003,7
2019,1,4,4,30,8.5,0,0,0,80.74,5.4,2.4000000000000004,8
2019,1,4,5,30,8.4,0,0,0,81.83,5.5,2.5,7
2019,1,4,6,30,8.5,0,0,0,82.62,5.7,2.5,7
2019,1,4,7,30,8.9,7,64,8,82.95,6.2,2.5,0
2019,1,4,8,30,10,65,121,86,82.05,7.1000000000000005,2.8000000000000003,4
2019,1,4,9,30,11.3,92,494,249,79.09,7.800000000000001,3.1,7
2019,1,4,10,30,12.3,145,435,329,78.9,8.700000000000001,3.4000000000000004,7
2019,1,4,11,30,13.100000000000001,68,899,503,77.43,9.200000000000001,3.7,0
2019,1,4,12,30,13.5,68,905,517,77.49,9.600000000000001,4,0
2019,1,4,13,30,13.700000000000001,66,884,471,77.47,9.8,4.1000000000000005,0
2019,1,4,14,30,13.700000000000001,60,828,370,77.48,9.8,4.1000000000000005,0
2019,1,4,15,30,13.600000000000001,50,709,226,77.78,9.8,4.1000000000000005,0
2019,1,4,16,30,12,29,415,67,85.98,9.700000000000001,3.7,0
2019,1,4,17,30,11.3,0,0,0,88.2,9.4,3.9000000000000004,0
2019,1,4,18,30,11,0,0,0,89.43,9.3,4.3,7
2019,1,4,19,30,11,0,0,0,89.03,9.3,4.9,0
2019,1,4,20,30,11.3,0,0,0,87.03,9.200000000000001,5.6000000000000005,0
2019,1,4,21,30,11.4,0,0,0,87.38,9.4,6.1000000000000005,0
2019,1,4,22,30,11.5,0,0,0,88.43,9.700000000000001,6.2,7
2019,1,4,23,30,11.3,0,0,0,91.04,9.9,6,7
2019,1,5,0,30,11.3,0,0,0,92.22,10.100000000000001,6,7
2019,1,5,1,30,11.4,0,0,0,91.41,10,6.4,7
2019,1,5,2,30,11.5,0,0,0,90.52,10,7,7
2019,1,5,3,30,11.700000000000001,0,0,0,89.14,10,7.800000000000001,7
2019,1,5,4,30,11.9,0,0,0,88.05,10,8.6,8
