Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137344,-,-,-,37.49,-122.42,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Dew Point,Wind Speed,Cloud Type
1999,1,1,0,30,8.3,0,0,0,96.95,7.800000000000001,4.1000000000000005,1
1999,1,1,1,30,8,0,0,0,98.85000000000001,7.800000000000001,3.9000000000000004,4
1999,1,1,2,30,7.800000000000001,0,0,0,100,7.800000000000001,3.8000000000000003,0
1999,1,1,3,30,7.7,0,0,0,100,7.7,3.8000000000000003,0
1999,1,1,4,30,7.6000000000000005,0,0,0,100,7.6000000000000005,3.6,0
1999,1,1,5,30,7.6000000000000005,0,0,0,100,7.6000000000000005,3.4000000000000004,1
1999,1,1,6,30,7.7,0,0,0,99.49000000000001,7.6000000000000005,3.1,0
1999,1,1,7,30,8.4,0,0,0,94.05,7.5,2.9000000000000004,1
1999,1,1,8,30,9.600000000000001,65,74,78,86.41,7.4,2.9000000000000004,3
1999,1,1,9,30,10.8,49,829,311,76.34,6.800000000000001,3,0
1999,1,1,10,30,11.8,53,907,434,66.06,5.7,2.7,0
1999,1,1,11,30,12.4,56,945,510,62.690000000000005,5.5,2.3000000000000003,0
1999,1,1,12,30,13,55,959,527,58.54,5.1000000000000005,2.2,0
1999,1,1,13,30,13.4,54,940,479,55.63,4.7,2.5,0
1999,1,1,14,30,13.4,49,889,376,55.57,4.7,2.6,0
1999,1,1,15,30,13.3,41,778,228,58.25,5.300000000000001,2.6,0
1999,1,1,16,30,11.3,23,499,65,71.32000000000001,6.300000000000001,2.4000000000000004,0
1999,1,1,17,30,10.4,0,0,0,73.9,5.9,2.6,0
1999,1,1,18,30,10,0,0,0,76.84,6.1000000000000005,2.6,0
1999,1,1,19,30,9.600000000000001,0,0,0,79.85000000000001,6.300000000000001,2.7,0
1999,1,1,20,30,9.200000000000001,0,0,0,82.65,6.4,2.8000000000000003,0
1999,1,1,21,30,8.8,0,0,0,84.73,6.4,3,0
1999,1,1,22,30,8.3,0,0,0,87.29,6.300000000000001,3.1,0
1999,1,1,23,30,7.800000000000001,0,0,0,89.98,6.300000000000001,3.1,0
1999,1,2,0,30,7.2,0,0,0,92.26,6,3.3000000000000003,0
1999,1,2,1,30,6.6000000000000005,0,0,0,94.12,5.7,3.4000000000000004,8
1999,1,2,2,30,6,0,0,0,96.29,5.5,3.7,7
1999,1,2,3,30,5.4,0,0,0,98.60000000000001,5.2,3.9000000000000004,0
1999,1,2,4,30,4.9,0,0,0,99.94,4.9,4.3,0
1999,1,2,5,30,4.6000000000000005,0,0,0,98.45,4.4,4.7,0
1999,1,2,6,30,4.3,0,0,0,97.13,3.9000000000000004,5,0
1999,1,2,7,30,4.9,0,0,0,90.03,3.4000000000000004,5.5,0
1999,1,2,8,30,6.2,35,682,154,80.39,3.1,5.800000000000001,0
1999,1,2,9,30,8,45,845,313,69.08,2.7,5.7,0
1999,1,2,10,30,9.9,132,503,344,57.83,2,5.2,3
1999,1,2,11,30,11.4,53,945,508,53.57,2.3000000000000003,4.5,1
