Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137344,-,-,-,37.49,-122.42,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Dew Point,Wind Speed,Cloud Type
2018,1,1,0,30,12.200000000000001,0,0,0,91.05,10.8,0.7000000000000001,4
2018,1,1,1,30,12.200000000000001,0,0,0,89.04,10.4,0.5,0
2018,1,1,2,30,12.100000000000001,0,0,0,87.72,10.100000000000001,0.4,0
2018,1,1,3,30,11.9,0,0,0,87.62,9.9,0.30000000000000004,0
2018,1,1,4,30,11.700000000000001,0,0,0,87.88,9.8,0.30000000000000004,0
2018,1,1,5,30,11.600000000000001,0,0,0,87.7,9.600000000000001,0.30000000000000004,0
2018,1,1,6,30,11.4,0,0,0,87.34,9.4,0.4,7
2018,1,1,7,30,11.4,6,0,6,86.02,9.1,0.7000000000000001,7
2018,1,1,8,30,11.8,65,134,88,84.94,9.3,1.3,7
2018,1,1,9,30,12.5,113,337,219,82.05,9.5,1.8,7
2018,1,1,10,30,13.200000000000001,138,468,335,79.45,9.700000000000001,1.8,7
2018,1,1,11,30,13.8,111,690,443,76.94,9.8,1.4000000000000001,7
2018,1,1,12,30,14.5,132,612,433,73.69,9.9,1.1,7
2018,1,1,13,30,15,133,555,385,70.05,9.600000000000001,1.1,7
2018,1,1,14,30,15.3,93,592,311,67.69,9.4,1.2000000000000002,7
2018,1,1,15,30,15.4,81,349,165,66.94,9.3,1.3,7
2018,1,1,16,30,14.4,32,86,39,73.25,9.700000000000001,1.1,7
2018,1,1,17,30,13.9,0,0,0,73.55,9.3,1.1,8
2018,1,1,18,30,13.600000000000001,0,0,0,75.14,9.3,1,7
2018,1,1,19,30,13.5,0,0,0,74.81,9.1,0.9,7
2018,1,1,20,30,13.3,0,0,0,74.79,8.9,0.9,7
2018,1,1,21,30,13.100000000000001,0,0,0,76.2,9,0.9,7
2018,1,1,22,30,12.9,0,0,0,77.84,9.1,0.9,8
2018,1,1,23,30,12.8,0,0,0,78.34,9.1,0.8,8
2018,1,2,0,30,12.600000000000001,0,0,0,79.12,9.1,0.9,8
2018,1,2,1,30,12.3,0,0,0,80.56,9.1,1.2000000000000002,4
2018,1,2,2,30,12,0,0,0,80.48,8.700000000000001,1.8,7
2018,1,2,3,30,11.8,0,0,0,79.7,8.4,2.2,6
2018,1,2,4,30,11.600000000000001,0,0,0,79.92,8.3,2.6,7
2018,1,2,5,30,11.3,0,0,0,80.83,8.1,2.7,7
2018,1,2,6,30,11.200000000000001,0,0,0,81.4,8.1,2.7,7
2018,1,2,7,30,11.5,6,0,6,80.11,8.200000000000001,2.6,6
2018,1,2,8,30,12.200000000000001,63,19,66,78.52,8.6,2.7,6
2018,1,2,9,30,12.9,127,74,150,75.45,8.700000000000001,2.5,6
2018,1,2,10,30,13.9,158,19,166,73.26,9.200000000000001,2.1,6
2018,1,2,11,30,14.8,134,1,134,71.41,9.700000000000001,1.8,6
2018,1,2,12,30,15.600000000000001,138,0,138,67.5,9.600000000000001,1.8,6
2018,1,2,13,30,16.1,127,1,127,64.85,9.5,1.8,6
2018,1,2,14,30,16.1,122,99,159,64.66,9.4,1.6,8
2018,1,2,15,30,15.9,83,36,92,68.4,10.100000000000001,1.5,7
2018,1,2,16,30,14.200000000000001,31,49,35,78.92,10.600000000000001,1.3,7
2018,1,2,17,30,13.4,0,0,0,81.46000000000001,10.3,1.4000000000000001,6
2018,1,2,18,30,12.9,0,0,0,83.03,10.100000000000001,1.5,7
2018,1,2,19,30,12.5,0,0,0,84.55,10,1.7000000000000002,7
2018,1,2,20,30,12.200000000000001,0,0,0,84.98,9.700000000000001,2.2,6
2018,1,2,21,30,11.9,0,0,0,85.18,9.5,2.6,6
2018,1,2,22,30,11.700000000000001,0,0,0,85.86,9.4,2.7,6
2018,1,2,23,30,11.5,0,0,0,86.92,9.4,2.9000000000000004,6
2018,1,3,0,30,11.4,0,0,0,87.67,9.4,2.8000000000000003,7
2018,1,3,1,30,11.5,0,0,0,87.91,9.600000000000001,2.6,7
2018,1,3,2,30,11.600000000000001,0,0,0,88.06,9.700000000000001,2.7,6
2018,1,3,3,30,11.5,0,0,0,88.74,9.700000000000001,2.8000000000000003,7
2018,1,3,4,30,11.5,0,0,0,88.15,9.600000000000001,2.9000000000000004,6
2018,1,3,5,30,11.600000000000001,0,0,0,86.5,9.4,2.9000000000000004,6
2018,1,3,6,30,11.600000000000001,0,0,0,85.05,9.200000000000001,2.5,6
2018,1,3,7,30,11.9,4,0,4,81.87,8.9,2,6
2018,1,3,8,30,12.4,45,0,45,79.60000000000001,9,1.4000000000000001,6
2018,1,3,9,30,13,12,0,12,79.45,9.5,1,6
2018,1,3,10,30,13.5,10,0,10,81.44,10.4,1.5,9
2018,1,3,11,30,13.700000000000001,20,0,20,81.7,10.600000000000001,2.7,9
2018,1,3,12,30,13.8,20,0,20,81.01,10.600000000000001,4,9
2018,1,3,13,30,13.9,38,0,38,79.85000000000001,10.5,4.4,9
2018,1,3,14,30,14,19,0,19,79.68,10.5,3.7,6
2018,1,3,15,30,14,47,0,47,80.75,10.700000000000001,3.2,6
2018,1,3,16,30,13.700000000000001,27,5,27,83.47,10.9,3.5,7
2018,1,3,17,30,13.700000000000001,0,0,0,83.42,10.9,4.5,4
2018,1,3,18,30,13.5,0,0,0,84.87,11,4.800000000000001,6
2018,1,3,19,30,13.200000000000001,0,0,0,86.57000000000001,11,4.6000000000000005,6
2018,1,3,20,30,13.200000000000001,0,0,0,86.96000000000001,11.100000000000001,4.800000000000001,8
2018,1,3,21,30,13.4,0,0,0,88.14,11.5,5.300000000000001,0
2018,1,3,22,30,13.4,0,0,0,91.17,12,5.2,0
2018,1,3,23,30,13.200000000000001,0,0,0,94.57000000000001,12.3,4.6000000000000005,7
2018,1,4,0,30,13.100000000000001,0,0,0,96.71000000000001,12.600000000000001,4.2,7
2018,1,4,1,30,13,0,0,0,98.03,12.700000000000001,4.2,0
2018,1,4,2,30,13,0,0,0,98.28,12.700000000000001,4.1000000000000005,0
2018,1,4,3,30,12.8,0,0,0,99.57000000000001,12.700000000000001,4,0
2018,1,4,4,30,12.8,0,0,0,99.21000000000001,12.700000000000001,3.8000000000000003,0
2018,1,4,5,30,12.8,0,0,0,98.79,12.600000000000001,3.6,0
2018,1,4,6,30,12.8,0,0,0,98.83,12.600000000000001,3.6,3
2018,1,4,7,30,13.3,4,0,4,96.07000000000001,12.700000000000001,3.8000000000000003,7
2018,1,4,8,30,14,58,12,60,93.68,13,4.1000000000000005,7
2018,1,4,9,30,14.9,109,52,125,90.87,13.4,4.1000000000000005,3
2018,1,4,10,30,15.9,172,138,230,88.25,14,4.4,3
2018,1,4,11,30,16.400000000000002,173,78,211,86.63,14.200000000000001,4.800000000000001,3
2018,1,4,12,30,16.6,144,132,210,85.06,14.100000000000001,5,3
2018,1,4,13,30,16.5,155,62,183,85.32000000000001,14,5,3
2018,1,4,14,30,16.3,91,440,256,86.37,14,4.800000000000001,0
2018,1,4,15,30,16.1,54,639,213,87.78,14.100000000000001,4.7,0
2018,1,4,16,30,14.700000000000001,30,345,62,96.29,14.100000000000001,3.7,0
2018,1,4,17,30,14.100000000000001,0,0,0,99.33,14,3.5,0
2018,1,4,18,30,13.9,0,0,0,100,13.9,3.8000000000000003,0
2018,1,4,19,30,13.9,0,0,0,100,13.9,4.2,0
2018,1,4,20,30,13.9,0,0,0,100,13.9,4.4,7
2018,1,4,21,30,14.100000000000001,0,0,0,99.10000000000001,14,4.4,7
2018,1,4,22,30,14.200000000000001,0,0,0,98.32000000000001,13.9,4.6000000000000005,0
2018,1,4,23,30,14.200000000000001,0,0,0,98.27,13.9,4.7,0
2018,1,5,0,30,14.200000000000001,0,0,0,98.14,13.9,4.6000000000000005,0
2018,1,5,1,30,14.100000000000001,0,0,0,98.57000000000001,13.9,4.2,0
